Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Visakhapatnam,01-31-16, M,17.91,20626291,62.67
Visakhapatnam,02-29-16, M,9.98,19334918,53.5
Visakhapatnam,03-31-16, M,10.72,19646970,54.73
Visakhapatnam,04-30-16, M,5.51,18929583,49.76
Visakhapatnam,05-31-16, M,6.29,21163390,56.02
Visakhapatnam,06-30-16, M,4.51,18431598,47.81
Visakhapatnam,07-31-16, M,4.87,19486726,50.67
Visakhapatnam,08-31-16, M,4.03,18826519,48.45
Visakhapatnam,09-30-16, M,7.6,19863483,53.02
Visakhapatnam,10-31-16, M,10.06,19151488,52.44
Visakhapatnam,11-30-16, M,5.23,19046358,49.43
Visakhapatnam,12-31-16, M,4.64,18235985,46.97
Visakhapatnam,01-31-17, M,5.85,19480036,50.74
Visakhapatnam,02-28-17, M,4.75,18231391,46.88
Visakhapatnam,03-31-17, M,3.06,18418217,46.47
Visakhapatnam,04-30-17, M,3.52,18173679,46.01
Visakhapatnam,05-31-17, M,2.3,17992099,44.91
Visakhapatnam,06-30-17, M,3.65,17724207,44.8
Visakhapatnam,07-31-17, M,2.66,17953658,44.85
Visakhapatnam,08-31-17, M,3.43,17774825,44.7
Visakhapatnam,09-30-17, M,6.59,18595636,48.28
Visakhapatnam,10-31-17, M,3.51,17233209,43.25
Visakhapatnam,11-30-17, M,3.32,18182263,45.48
Visakhapatnam,12-31-17, M,4.01,18593687,46.77
Visakhapatnam,01-31-18, M,5.79,17947085,45.93
Visakhapatnam,02-28-18, M,3.97,17568645,44.06
Visakhapatnam,03-31-18, M,4.22,17247729,43.3
Visakhapatnam,04-30-18, M,3.65,17084469,42.58
Visakhapatnam,05-31-18, M,4.01,17078661,42.66
Visakhapatnam,06-30-18, M,4.51,16524370,41.44
Visakhapatnam,07-31-18, M,5.25,17438268,44.01
Visakhapatnam,08-31-18, M,4.33,17247277,43.05
Visakhapatnam,09-30-18, M,4.88,17200185,43.11
Visakhapatnam,10-31-18, M,5.56,15617337,39.37
Visakhapatnam,11-30-18, M,5.24,16856909,42.29
Visakhapatnam,12-31-18, M,4.2,17094902,42.37
Visakhapatnam,01-31-19, M,5.21,17525876,43.83
Visakhapatnam,02-28-19, M,5.76,15705618,39.46
Visakhapatnam,03-31-19, M,5.17,16300531,40.64
Visakhapatnam,04-30-19, M,4.02,17501776,43.05
Visakhapatnam,05-31-19, M,4.36,16787801,41.38
Visakhapatnam,06-30-19, M,3.27,16580510,40.35
Visakhapatnam,07-31-19, M,4.29,16744148,41.12
Visakhapatnam,08-31-19, M,3.68,17028869,41.5
Visakhapatnam,09-30-19, M,5.41,16990761,42.11
Visakhapatnam,10-31-19, M,3.86,16791781,40.88
Visakhapatnam,11-30-19, M,5.14,16066455,39.59
Visakhapatnam,12-31-19, M,5.39,17442360,43.03
Visakhapatnam,01-31-20, M,5.48,16635535,41.02
Visakhapatnam,02-29-20, M,5.83,16545652,40.9
Visakhapatnam,03-31-20, M,5.79,15881197,39.18
Visakhapatnam,04-30-20, M,20.51,11336911,33.1
Visakhapatnam,05-31-20, M,17.43,12988845,36.46
Visakhapatnam,06-30-20, M,3.31,19805400,47.41
Visakhapatnam,07-31-20, M,8.34,15431615,38.91
Visakhapatnam,08-31-20, M,6.96,15251776,37.83
Visakhapatnam,09-30-20, M,6.4,15220312,37.47
Visakhapatnam,10-31-20, M,6.64,15140379,37.32
Visakhapatnam,11-30-20, M,6.02,15478231,37.84
Visakhapatnam,12-31-20, M,6.71,15854431,39.0
Visakhapatnam,01-31-21, M,4.48,16516412,39.62
Visakhapatnam,02-28-21, M,3.74,16736552,39.78
Visakhapatnam,03-31-21, M,5.88,15752408,38.24
Visakhapatnam,04-30-21, M,4.91,15834266,37.99
Visakhapatnam,05-31-21, M,12.83,15092065,39.44
Visakhapatnam,06-30-21, M,7.43,15559239,38.24
Visakhapatnam,07-31-21, M,8.68,15485255,38.52
Visakhapatnam,08-31-21, M,6.49,16159788,39.2
Visakhapatnam,09-30-21, M,6.07,16977784,40.94
Visakhapatnam,10-31-21, M,5.37,15875697,37.95
Visakhapatnam,11-30-21, M,6.33,15849249,38.22
Visakhapatnam,12-31-21, M,5.62,16915954,40.43
Visakhapatnam,01-31-22, M,6.17,15675627,37.63
Visakhapatnam,02-28-22, M,7.1,15515845,37.57
Visakhapatnam,03-31-22, M,9.16,15285329,37.79
Visakhapatnam,04-30-22, M,5.3,16598072,39.31
Visakhapatnam,05-31-22, M,4.38,15971197,37.41
Visakhapatnam,06-30-22, M,4.43,14930793,34.94
Visakhapatnam,07-31-22, M,5.79,15618902,37.02
