Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Kolkata,01-31-16, M,9.04,31812990,47.11
Kolkata,02-29-16, M,6.19,30811585,44.16
Kolkata,03-31-16, M,8.24,31201247,45.64
Kolkata,04-30-16, M,7.54,31812979,46.09
Kolkata,05-31-16, M,6.6,32086784,45.93
Kolkata,06-30-16, M,6.85,30067878,43.08
Kolkata,07-31-16, M,7.99,31073305,44.98
Kolkata,08-31-16, M,7.23,32623468,46.75
Kolkata,09-30-16, M,7.73,33751829,48.54
Kolkata,10-31-16, M,4.64,31877620,44.27
Kolkata,11-30-16, M,7.26,31427741,44.8
Kolkata,12-31-16, M,5.94,32473234,45.55
Kolkata,01-31-17, M,6.6,32880205,46.36
Kolkata,02-28-17, M,4.83,32158803,44.42
Kolkata,03-31-17, M,6.59,31936698,44.86
Kolkata,04-30-17, M,5.13,33365721,46.06
Kolkata,05-31-17, M,5.96,33572499,46.66
Kolkata,06-30-17, M,4.82,33083715,45.35
Kolkata,07-31-17, M,6.31,32377573,45.0
Kolkata,08-31-17, M,5.17,33438750,45.82
Kolkata,09-30-17, M,7.46,32616700,45.72
Kolkata,10-31-17, M,5.75,33910697,46.58
Kolkata,11-30-17, M,5.94,33428349,45.92
Kolkata,12-31-17, M,5.37,34617683,47.18
Kolkata,01-31-18, M,8.63,32811721,46.23
Kolkata,02-28-18, M,8.83,34163374,48.15
Kolkata,03-31-18, M,7.92,33019745,45.99
Kolkata,04-30-18, M,6.24,33967751,46.38
Kolkata,05-31-18, M,7.37,33663732,46.43
Kolkata,06-30-18, M,7.82,34147434,47.24
Kolkata,07-31-18, M,6.43,34253459,46.6
Kolkata,08-31-18, M,5.7,34492073,46.47
Kolkata,09-30-18, M,7.14,33858370,46.24
Kolkata,10-31-18, M,6.74,34891251,47.35
Kolkata,11-30-18, M,6.15,34765004,46.79
Kolkata,12-31-18, M,5.89,35003804,46.9
Kolkata,01-31-19, M,6.95,34442774,46.58
Kolkata,02-28-19, M,6.45,35325211,47.43
Kolkata,03-31-19, M,6.1,35655928,47.61
Kolkata,04-30-19, M,6.55,35642390,47.73
Kolkata,05-31-19, M,6.43,34759070,46.4
Kolkata,06-30-19, M,6.31,36154978,48.11
Kolkata,07-31-19, M,6.32,35637632,47.34
Kolkata,08-31-19, M,6.12,36381326,48.13
Kolkata,09-30-19, M,6.41,35681623,47.26
Kolkata,10-31-19, M,7.1,34916695,46.5
Kolkata,11-30-19, M,6.06,36398814,47.85
Kolkata,12-31-19, M,6.25,36241930,47.65
Kolkata,01-31-20, M,6.94,35820789,47.35
Kolkata,02-29-20, M,4.92,36964178,47.74
Kolkata,03-31-20, M,6.92,35903917,47.27
Kolkata,04-30-20, M,17.41,26938836,39.9
Kolkata,05-31-20, M,17.41,28356675,41.92
Kolkata,06-30-20, M,7.29,30726310,40.39
Kolkata,07-31-20, M,6.83,35372506,46.17
Kolkata,08-31-20, M,14.87,33298644,47.48
Kolkata,09-30-20, M,9.31,35877583,47.93
Kolkata,10-31-20, M,10.22,33856332,45.6
Kolkata,11-30-20, M,11.24,33420675,45.45
Kolkata,12-31-20, M,6.01,35829652,45.93
Kolkata,01-31-21, M,5.25,36563881,46.4
Kolkata,02-28-21, M,6.22,37127736,47.52
Kolkata,03-31-21, M,7.51,35827410,46.41
Kolkata,04-30-21, M,7.63,34849346,45.11
Kolkata,05-31-21, M,19.34,28897052,42.75
Kolkata,06-30-21, M,22.14,30440202,46.57
Kolkata,07-31-21, M,7.37,35267884,45.26
Kolkata,08-31-21, M,7.41,35376844,45.34
Kolkata,09-30-21, M,6.8,36442890,46.31
Kolkata,10-31-21, M,5.6,36583286,45.81
Kolkata,11-30-21, M,6.68,35748702,45.2
Kolkata,12-31-21, M,7.33,35652535,45.31
Kolkata,01-31-22, M,6.43,36913541,46.37
Kolkata,02-28-22, M,6.27,36465383,45.65
Kolkata,03-31-22, M,5.57,35396256,43.9
Kolkata,04-30-22, M,6.25,35900743,44.76
Kolkata,05-31-22, M,5.75,37816306,46.81
Kolkata,06-30-22, M,5.23,36584378,44.95
Kolkata,07-31-22, M,6.26,35776902,44.36
