Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Kochi,01-31-16, M,18.4,10188518,46.3
Kochi,02-29-16, M,23.53,10223651,49.54
Kochi,03-31-16, M,22.91,9605152,46.12
Kochi,04-30-16, M,18.38,10078897,45.67
Kochi,05-31-16, M,11.96,10320728,43.32
Kochi,06-30-16, M,10.34,10135488,41.73
Kochi,07-31-16, M,13.57,9893670,42.22
Kochi,08-31-16, M,16.2,10322068,45.39
Kochi,09-30-16, M,5.82,10314303,40.32
Kochi,10-31-16, M,5.13,10626380,41.2
Kochi,11-30-16, M,16.85,9526044,42.1
Kochi,12-31-16, M,19.46,9983172,45.51
Kochi,01-31-17, M,12.28,10248227,42.85
Kochi,02-28-17, M,10.15,10257733,41.84
Kochi,03-31-17, M,12.15,9909110,41.3
Kochi,04-30-17, M,6.23,9884149,38.56
Kochi,05-31-17, M,7.82,9639045,38.22
Kochi,06-30-17, M,7.01,9881536,38.8
Kochi,07-31-17, M,8.28,9474521,37.68
Kochi,08-31-17, M,6.01,9962805,38.63
Kochi,09-30-17, M,4.37,9643099,36.72
Kochi,10-31-17, M,10.44,10057625,40.86
Kochi,11-30-17, M,10.97,9365767,38.24
Kochi,12-31-17, M,11.21,9690563,39.63
Kochi,01-31-18, M,6.88,9683946,37.73
Kochi,02-28-18, M,8.27,10235045,40.44
Kochi,03-31-18, M,9.8,9504738,38.16
Kochi,04-30-18, M,6.67,9749554,37.79
Kochi,05-31-18, M,5.67,9778798,37.47
Kochi,06-30-18, M,8.9,10146010,40.22
Kochi,07-31-18, M,7.22,9596346,37.32
Kochi,08-31-18, M,10.41,7768045,31.26
Kochi,09-30-18, M,4.26,9789238,36.82
Kochi,10-31-18, M,7.22,10013232,38.83
Kochi,11-30-18, M,6.26,9229128,35.39
Kochi,12-31-18, M,8.26,9370914,36.69
Kochi,01-31-19, M,6.62,9860216,37.89
Kochi,02-28-19, M,7.41,10137150,39.25
Kochi,03-31-19, M,6.41,8985355,34.39
Kochi,04-30-19, M,8.79,9626201,37.77
Kochi,05-31-19, M,6.39,9790265,37.39
Kochi,06-30-19, M,7.95,10283997,39.91
Kochi,07-31-19, M,6.18,8960603,34.08
Kochi,08-31-19, M,9.13,9682099,37.99
Kochi,09-30-19, M,5.43,10041141,37.82
Kochi,10-31-19, M,7.41,9973336,38.33
Kochi,11-30-19, M,5.81,8620674,32.54
Kochi,12-31-19, M,9.19,9506092,37.18
Kochi,01-31-20, M,5.31,9904534,37.12
Kochi,02-29-20, M,7.6,9828023,37.71
Kochi,03-31-20, M,8.99,8221728,32.0
Kochi,04-30-20, M,16.99,3933276,16.77
Kochi,05-31-20, M,17.88,7921962,34.11
Kochi,06-30-20, M,9.71,9228268,36.11
Kochi,07-31-20, M,7.09,9504420,36.1
Kochi,08-31-20, M,10.98,9031944,35.78
Kochi,09-30-20, M,5.91,9240913,34.6
Kochi,10-31-20, M,3.88,9152881,33.52
Kochi,11-30-20, M,5.83,8472442,31.64
Kochi,12-31-20, M,6.45,9556138,35.89
Kochi,01-31-21, M,5.46,9264917,34.39
Kochi,02-28-21, M,4.3,9336761,34.21
Kochi,03-31-21, M,5.9,8804500,32.78
Kochi,04-30-21, M,7.52,9603392,36.35
Kochi,05-31-21, M,23.52,7458637,34.1
Kochi,06-30-21, M,15.77,7752486,32.16
Kochi,07-31-21, M,7.52,8439403,31.85
Kochi,08-31-21, M,7.81,9544849,36.11
Kochi,09-30-21, M,8.95,8971738,34.33
Kochi,10-31-21, M,5.39,9625925,35.42
Kochi,11-30-21, M,7.09,8885861,33.26
Kochi,12-31-21, M,6.69,9872876,36.76
Kochi,01-31-22, M,4.95,9215981,33.66
Kochi,02-28-22, M,4.95,9665889,35.27
Kochi,03-31-22, M,6.74,9066457,33.68
Kochi,04-30-22, M,5.84,9688763,35.62
Kochi,05-31-22, M,5.83,9545387,35.06
Kochi,06-30-22, M,5.32,9643789,35.19
Kochi,07-31-22, M,4.93,8760972,31.81
