Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Jaipur,01-31-16, M,6.72,19348695,40.49
Jaipur,02-29-16, M,3.82,19918070,40.34
Jaipur,03-31-16, M,7.56,18609185,39.12
Jaipur,04-30-16, M,11.45,18644477,40.82
Jaipur,05-31-16, M,8.82,18690639,39.65
Jaipur,06-30-16, M,7.16,19780871,41.12
Jaipur,07-31-16, M,6.36,17627470,36.24
Jaipur,08-31-16, M,5.55,19503415,39.66
Jaipur,09-30-16, M,4.17,20235485,40.47
Jaipur,10-31-16, M,3.91,20135234,40.06
Jaipur,11-30-16, M,4.97,17825134,35.78
Jaipur,12-31-16, M,7.77,18760518,38.71
Jaipur,01-31-17, M,5.18,19134010,38.31
Jaipur,02-28-17, M,3.73,20408833,40.17
Jaipur,03-31-17, M,2.79,20914052,40.67
Jaipur,04-30-17, M,4.95,20169763,40.02
Jaipur,05-31-17, M,2.73,19176736,37.09
Jaipur,06-30-17, M,4.4,20645461,40.54
Jaipur,07-31-17, M,1.72,19236798,36.66
Jaipur,08-31-17, M,6.5,19241686,38.45
Jaipur,09-30-17, M,1.59,20493578,38.82
Jaipur,10-31-17, M,3.56,19386262,37.38
Jaipur,11-30-17, M,7.78,20520622,41.29
Jaipur,12-31-17, M,4.7,19617961,38.11
Jaipur,01-31-18, M,6.41,19639483,38.76
Jaipur,02-28-18, M,6.65,19078450,37.67
Jaipur,03-31-18, M,13.2,19637012,41.6
Jaipur,04-30-18, M,7.4,19053973,37.75
Jaipur,05-31-18, M,5.36,20019460,38.71
Jaipur,06-30-18, M,10.08,19367639,39.33
Jaipur,07-31-18, M,9.49,19558725,39.36
Jaipur,08-31-18, M,9.75,19277283,38.82
Jaipur,09-30-18, M,7.58,19564512,38.39
Jaipur,10-31-18, M,13.63,19543972,40.94
Jaipur,11-30-18, M,12.51,19776255,40.8
Jaipur,12-31-18, M,14.87,19491220,41.23
Jaipur,01-31-19, M,7.67,19802750,38.53
Jaipur,02-28-19, M,10.58,20445986,40.99
Jaipur,03-31-19, M,9.71,19964844,39.54
Jaipur,04-30-19, M,12.58,20053759,40.93
Jaipur,05-31-19, M,6.63,20334436,38.77
Jaipur,06-30-19, M,13.88,19851738,40.94
Jaipur,07-31-19, M,10.23,20232340,39.94
Jaipur,08-31-19, M,13.08,20247209,41.18
Jaipur,09-30-19, M,7.52,20467523,39.03
Jaipur,10-31-19, M,14.24,20562884,42.19
Jaipur,11-30-19, M,11.49,20585267,40.83
Jaipur,12-31-19, M,15.01,20594797,42.44
Jaipur,01-31-20, M,10.97,20641716,40.51
Jaipur,02-29-20, M,15.16,20328915,41.77
Jaipur,03-31-20, M,11.9,20024680,39.54
Jaipur,04-30-20, M,17.7,15984142,33.71
Jaipur,05-31-20, M,15.74,19826602,40.74
Jaipur,06-30-20, M,14.39,20506612,41.38
Jaipur,07-31-20, M,15.81,19932393,40.8
Jaipur,08-31-20, M,17.51,20014060,41.71
Jaipur,09-30-20, M,15.35,20149594,40.83
Jaipur,10-31-20, M,24.1,19913403,44.9
Jaipur,11-30-20, M,18.52,20268396,42.47
Jaipur,12-31-20, M,28.23,19786545,46.96
Jaipur,01-31-21, M,17.69,21125626,43.62
Jaipur,02-28-21, M,25.63,20096427,45.83
Jaipur,03-31-21, M,19.74,20392741,42.99
Jaipur,04-30-21, M,28.04,19857143,46.58
Jaipur,05-31-21, M,27.64,18671874,43.45
Jaipur,06-30-21, M,26.27,20321049,46.31
Jaipur,07-31-21, M,21.06,20661802,43.88
Jaipur,08-31-21, M,26.69,20521536,46.81
Jaipur,09-30-21, M,17.87,21092269,42.85
Jaipur,10-31-21, M,29.52,20463351,48.32
Jaipur,11-30-21, M,20.23,20322679,42.31
Jaipur,12-31-21, M,27.12,20152764,45.81
Jaipur,01-31-22, M,18.95,20683321,42.18
Jaipur,02-28-22, M,32.39,19511908,47.6
Jaipur,03-31-22, M,24.48,19672111,42.86
Jaipur,04-30-22, M,28.8,20196775,46.57
Jaipur,05-31-22, M,22.2,20783118,43.76
Jaipur,06-30-22, M,29.77,19656959,45.74
Jaipur,07-31-22, M,19.13,20019314,40.36
