Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Jalandhar,01-31-16, M,7.66,9754023,46.27
Jalandhar,02-29-16, M,12.38,9262659,46.23
Jalandhar,03-31-16, M,8.32,9643108,45.92
Jalandhar,04-30-16, M,7.28,9656125,45.38
Jalandhar,05-31-16, M,5.07,10078832,46.19
Jalandhar,06-30-16, M,10.58,9560266,46.43
Jalandhar,07-31-16, M,6.29,10058453,46.53
Jalandhar,08-31-16, M,6.68,9941356,46.1
Jalandhar,09-30-16, M,4.81,10112534,45.89
Jalandhar,10-31-16, M,11.09,9524845,46.2
Jalandhar,11-30-16, M,4.87,10019825,45.35
Jalandhar,12-31-16, M,6.07,9303829,42.57
Jalandhar,01-31-17, M,5.62,9722154,44.19
Jalandhar,02-28-17, M,7.99,9403160,43.77
Jalandhar,03-31-17, M,2.62,10066784,44.2
Jalandhar,04-30-17, M,1.83,9969161,43.35
Jalandhar,05-31-17, M,5.45,9589951,43.22
Jalandhar,06-30-17, M,8.89,9213845,43.02
Jalandhar,07-31-17, M,4.68,10105217,45.02
Jalandhar,08-31-17, M,2.48,10153038,44.13
Jalandhar,09-30-17, M,4.02,9381025,41.36
Jalandhar,10-31-17, M,7.82,9101741,41.71
Jalandhar,11-30-17, M,9.15,9743608,45.22
Jalandhar,12-31-17, M,6.78,9751980,44.04
Jalandhar,01-31-18, M,6.69,9451517,42.56
Jalandhar,02-28-18, M,9.64,9037017,41.96
Jalandhar,03-31-18, M,9.01,9625563,44.3
Jalandhar,04-30-18, M,7.16,9565632,43.08
Jalandhar,05-31-18, M,7.26,9442801,42.5
Jalandhar,06-30-18, M,8.29,9159458,41.61
Jalandhar,07-31-18, M,8.44,9818753,44.6
Jalandhar,08-31-18, M,5.37,9692368,42.52
Jalandhar,09-30-18, M,9.83,9626059,44.24
Jalandhar,10-31-18, M,11.68,9227814,43.23
Jalandhar,11-30-18, M,8.56,9817265,44.34
Jalandhar,12-31-18, M,5.83,9710595,42.52
Jalandhar,01-31-19, M,10.47,9604005,44.15
Jalandhar,02-28-19, M,12.39,9205076,43.18
Jalandhar,03-31-19, M,9.8,9731044,44.25
Jalandhar,04-30-19, M,7.51,9641918,42.69
Jalandhar,05-31-19, M,10.73,9378466,42.94
Jalandhar,06-30-19, M,12.55,9333034,43.55
Jalandhar,07-31-19, M,10.36,9900571,44.99
Jalandhar,08-31-19, M,8.68,9683288,43.12
Jalandhar,09-30-19, M,11.29,9481369,43.39
Jalandhar,10-31-19, M,12.97,9092358,42.33
Jalandhar,11-30-19, M,8.29,9997265,44.1
Jalandhar,12-31-19, M,8.36,9739995,42.92
Jalandhar,01-31-20, M,11.11,9442093,42.82
Jalandhar,02-29-20, M,10.97,9229047,41.72
Jalandhar,03-31-20, M,10.32,9975485,44.69
Jalandhar,04-30-20, M,2.86,7020565,28.99
Jalandhar,05-31-20, M,28.33,6872938,38.39
Jalandhar,06-30-20, M,16.55,8390766,40.18
Jalandhar,07-31-20, M,9.19,9732417,42.76
Jalandhar,08-31-20, M,10.99,9386169,41.99
Jalandhar,09-30-20, M,9.61,8979999,39.5
Jalandhar,10-31-20, M,9.83,8811756,38.78
Jalandhar,11-30-20, M,7.64,9550215,40.96
Jalandhar,12-31-20, M,4.37,9369173,38.75
Jalandhar,01-31-21, M,8.09,9097268,39.07
Jalandhar,02-28-21, M,7.21,9037550,38.39
Jalandhar,03-31-21, M,7.35,9590215,40.73
Jalandhar,04-30-21, M,5.33,9367881,38.87
Jalandhar,05-31-21, M,8.84,8900420,38.28
Jalandhar,06-30-21, M,8.27,9008366,38.44
Jalandhar,07-31-21, M,6.93,9706975,40.75
Jalandhar,08-31-21, M,6.05,9462403,39.28
Jalandhar,09-30-21, M,9.28,8935927,38.35
Jalandhar,10-31-21, M,11.41,8722548,38.27
Jalandhar,11-30-21, M,6.7,9835327,40.9
Jalandhar,12-31-21, M,6.78,9577559,39.8
Jalandhar,01-31-22, M,9.31,8953493,38.17
Jalandhar,02-28-22, M,8.99,9030318,38.3
Jalandhar,03-31-22, M,6.94,9842359,40.76
Jalandhar,04-30-22, M,7.25,9632697,39.95
Jalandhar,05-31-22, M,9.15,9172799,38.77
Jalandhar,06-30-22, M,8.51,9204594,38.57
Jalandhar,07-31-22, M,7.74,10068762,41.76
