Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Aizwal,01-31-16, M,8.72,408609380,47.7
Aizwal,02-29-16, M,8.46,402169984,46.72
Aizwal,03-31-16, M,8.73,397037060,46.18
Aizwal,04-30-16, M,8.9,403488712,46.92
Aizwal,05-31-16, M,9.65,414185605,48.47
Aizwal,06-30-16, M,8.91,401597521,46.52
Aizwal,07-31-16, M,8.51,399367855,45.97
Aizwal,08-31-16, M,9.59,406539793,47.26
Aizwal,09-30-16, M,8.43,418463537,47.94
Aizwal,10-31-16, M,6.71,414260479,46.49
Aizwal,11-30-16, M,6.51,401452641,44.87
Aizwal,12-31-16, M,6.4,406231569,45.26
Aizwal,01-31-17, M,5.93,409089180,45.26
Aizwal,02-28-17, M,5.01,407510573,44.57
Aizwal,03-31-17, M,4.67,405041471,44.05
Aizwal,04-30-17, M,3.87,404907085,43.59
Aizwal,05-31-17, M,4.03,405278054,43.61
Aizwal,06-30-17, M,4.12,408560176,43.92
Aizwal,07-31-17, M,3.37,402701002,42.87
Aizwal,08-31-17, M,4.07,405548445,43.4
Aizwal,09-30-17, M,4.63,405856846,43.61
Aizwal,10-31-17, M,5.0,406599177,43.77
Aizwal,11-30-17, M,4.72,409132411,43.83
Aizwal,12-31-17, M,4.74,408355283,43.67
Aizwal,01-31-18, M,5.01,405838316,43.43
Aizwal,02-28-18, M,5.87,405980615,43.77
Aizwal,03-31-18, M,6.0,402405346,43.35
Aizwal,04-30-18, M,5.57,401930972,43.02
Aizwal,05-31-18, M,5.14,401972361,42.75
Aizwal,06-30-18, M,5.75,401484904,42.88
Aizwal,07-31-18, M,5.66,401114819,42.72
Aizwal,08-31-18, M,6.27,397988063,42.58
Aizwal,09-30-18, M,6.47,403098663,43.13
Aizwal,10-31-18, M,6.83,396084619,42.46
Aizwal,11-30-18, M,6.65,401073049,42.83
Aizwal,12-31-18, M,7.02,397460299,42.53
Aizwal,01-31-19, M,6.86,406093726,43.29
Aizwal,02-28-19, M,7.2,399913970,42.71
Aizwal,03-31-19, M,6.65,402600865,42.66
Aizwal,04-30-19, M,7.35,399248195,42.54
Aizwal,05-31-19, M,7.03,403703192,42.78
Aizwal,06-30-19, M,7.87,400337390,42.73
Aizwal,07-31-19, M,7.34,403064278,42.69
Aizwal,08-31-19, M,8.19,403245519,43.02
Aizwal,09-30-19, M,7.14,406718757,42.81
Aizwal,10-31-19, M,8.1,404124236,42.9
Aizwal,11-30-19, M,7.23,403049912,42.3
Aizwal,12-31-19, M,7.6,405647546,42.66
Aizwal,01-31-20, M,7.22,410473913,42.9
Aizwal,02-29-20, M,7.76,405954169,42.6
Aizwal,03-31-20, M,8.75,395840756,41.9
Aizwal,04-30-20, M,23.52,282203816,35.57
Aizwal,05-31-20, M,21.73,313793837,38.57
Aizwal,06-30-20, M,10.18,376993536,40.3
Aizwal,07-31-20, M,7.4,392341064,40.61
Aizwal,08-31-20, M,8.35,392520303,40.96
Aizwal,09-30-20, M,6.68,397739844,40.68
Aizwal,10-31-20, M,7.02,396450375,40.62
Aizwal,11-30-20, M,6.5,394133855,40.08
Aizwal,12-31-20, M,9.06,388777142,40.56
Aizwal,01-31-21, M,6.52,400709258,40.59
Aizwal,02-28-21, M,6.89,398213434,40.43
Aizwal,03-31-21, M,6.5,398145073,40.17
Aizwal,04-30-21, M,7.97,390790128,39.98
Aizwal,05-31-21, M,11.84,375727008,40.04
Aizwal,06-30-21, M,9.17,383469051,39.59
Aizwal,07-31-21, M,6.96,399714145,40.21
Aizwal,08-31-21, M,8.32,397784327,40.52
Aizwal,09-30-21, M,6.86,406104468,40.64
Aizwal,10-31-21, M,7.74,400886546,40.42
Aizwal,11-30-21, M,6.97,402664041,40.19
Aizwal,12-31-21, M,7.91,406012456,40.85
Aizwal,01-31-22, M,6.56,402616049,39.84
Aizwal,02-28-22, M,8.11,397057157,39.89
Aizwal,03-31-22, M,7.57,395969754,39.46
Aizwal,04-30-22, M,7.83,402949020,40.19
Aizwal,05-31-22, M,7.12,403981241,39.91
Aizwal,06-30-22, M,7.8,390929249,38.83
Aizwal,07-31-22, M,6.8,397184055,38.95
