Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Mumbai,01-31-16, M,4.62,41175830,46.77
Mumbai,02-29-16, M,3.69,41947738,47.11
Mumbai,03-31-16, M,5.92,41426005,47.53
Mumbai,04-30-16, M,9.92,42200931,50.47
Mumbai,05-31-16, M,9.05,43656285,51.6
Mumbai,06-30-16, M,6.58,44556278,51.18
Mumbai,07-31-16, M,7.84,44741140,51.99
Mumbai,08-31-16, M,8.96,42102304,49.43
Mumbai,09-30-16, M,6.46,45059192,51.39
Mumbai,10-31-16, M,4.34,46570690,51.83
Mumbai,11-30-16, M,5.13,44592280,49.94
Mumbai,12-31-16, M,5.2,43013262,48.12
Mumbai,01-31-17, M,4.2,44369671,49.02
Mumbai,02-28-17, M,3.49,45028087,49.29
Mumbai,03-31-17, M,7.96,43864363,50.24
Mumbai,04-30-17, M,4.05,43449940,47.65
Mumbai,05-31-17, M,4.92,44091076,48.7
Mumbai,06-30-17, M,4.11,44149420,48.26
Mumbai,07-31-17, M,3.45,46291207,50.15
Mumbai,08-31-17, M,4.76,43944919,48.17
Mumbai,09-30-17, M,4.67,45138102,49.34
Mumbai,10-31-17, M,3.87,45163462,48.86
Mumbai,11-30-17, M,3.82,45467715,49.06
Mumbai,12-31-17, M,2.7,44870497,47.77
Mumbai,01-31-18, M,3.47,45213511,48.42
Mumbai,02-28-18, M,3.83,45713503,49.05
Mumbai,03-31-18, M,3.36,44650489,47.58
Mumbai,04-30-18, M,4.88,44155265,47.71
Mumbai,05-31-18, M,3.74,43268117,46.11
Mumbai,06-30-18, M,4.19,43697315,46.69
Mumbai,07-31-18, M,3.46,42810228,45.31
Mumbai,08-31-18, M,4.05,41357801,43.95
Mumbai,09-30-18, M,4.02,43722414,46.36
Mumbai,10-31-18, M,3.82,43670526,46.12
Mumbai,11-30-18, M,3.78,43591817,45.92
Mumbai,12-31-18, M,3.21,42499581,44.42
Mumbai,01-31-19, M,5.67,44188804,47.3
Mumbai,02-28-19, M,3.73,43904146,45.96
Mumbai,03-31-19, M,3.34,44082780,45.87
Mumbai,04-30-19, M,4.09,41839940,43.79
Mumbai,05-31-19, M,4.69,40859439,42.95
Mumbai,06-30-19, M,5.26,40431563,42.67
Mumbai,07-31-19, M,4.78,42059400,44.08
Mumbai,08-31-19, M,5.26,43438141,45.66
Mumbai,09-30-19, M,5.55,41617740,43.8
Mumbai,10-31-19, M,5.38,41552227,43.56
Mumbai,11-30-19, M,5.34,42368067,44.31
Mumbai,12-31-19, M,4.94,42938783,44.63
Mumbai,01-31-20, M,4.95,42596868,44.19
Mumbai,02-29-20, M,4.69,42416317,43.8
Mumbai,03-31-20, M,5.79,40196806,41.91
Mumbai,04-30-20, M,20.9,27689253,34.32
Mumbai,05-31-20, M,15.46,32116847,37.17
Mumbai,06-30-20, M,9.23,39708538,42.71
Mumbai,07-31-20, M,3.89,40998545,41.57
Mumbai,08-31-20, M,6.23,40963616,42.49
Mumbai,09-30-20, M,4.54,41970885,42.67
Mumbai,10-31-20, M,4.2,42984107,43.46
Mumbai,11-30-20, M,2.98,41835346,41.69
Mumbai,12-31-20, M,3.9,41852719,42.02
Mumbai,01-31-21, M,3.79,42638718,42.68
Mumbai,02-28-21, M,3.75,43096660,43.04
Mumbai,03-31-21, M,3.55,44407556,44.16
Mumbai,04-30-21, M,5.47,40125662,40.64
Mumbai,05-31-21, M,5.75,40887966,41.45
Mumbai,06-30-21, M,4.29,42688095,42.53
Mumbai,07-31-21, M,4.28,44095200,43.84
Mumbai,08-31-21, M,4.36,44637546,44.32
Mumbai,09-30-21, M,4.53,44651998,44.33
Mumbai,10-31-21, M,4.33,43813077,43.32
Mumbai,11-30-21, M,4.69,46831192,46.39
Mumbai,12-31-21, M,3.77,47665595,46.67
Mumbai,01-31-22, M,4.21,44712496,43.89
Mumbai,02-28-22, M,4.34,44594701,43.76
Mumbai,03-31-22, M,4.0,45806483,44.69
Mumbai,04-30-22, M,3.13,47035554,45.39
Mumbai,05-31-22, M,4.08,43075396,41.9
Mumbai,06-30-22, M,4.8,42929875,41.99
Mumbai,07-31-22, M,3.73,45487357,43.91
